learning_rate,dropout,weight_decay,batch_size,lr_reduce_factor,lr_reduce_patience,early_stopping_patience,trial_id,score,estado
4.0983871094082436e-05,0.07258496356733739,0.008547485565344062,8,0.3323028659735827,1,3,6,0.9667944931752399,COMPLETED
1.4373969325479036e-05,0.14525517249894287,0.0019004375238737127,8,0.2634143517017975,1,6,4,0.9376576292559899,COMPLETED
1.1241292805441375e-05,0.18703945710408243,0.00013607174450468629,16,0.19740710508373482,3,5,5,0.569371599190681,COMPLETED
2.3773648165168298e-05,0.27640991904363016,0.0002137464742000241,32,0.4699461006503781,3,3,1,0.4645818526415541,COMPLETED
1.5611960374840065e-05,0.28199789146941856,0.0007767449713530701,16,0.2658975997234716,1,2,7,0.4323879800853485,COMPLETED
1.1494571319371366e-05,0.1804959774281233,0.0002304250692421976,16,0.3,1,3,0,0.355878161622603,COMPLETED
2.794224334615446e-05,0.2121243049947208,0.00016823422054760656,16,0.3156326258423242,1,2,2,0.34912520699834404,COMPLETED
1.859081492773529e-05,0.1822338457351031,0.0012513800047239778,8,0.37280182423519115,2,3,3,0.32838038632986627,COMPLETED
