title,description,date,url
Terminó gira de Petro en Cuba: ¿cuántos viajes internacionales hizo durante su mandato?,"¿Cuántos viajes internacionales hizo Petro como presidente?: así terminó su agenda en el exterior tras visita en La Habana, Cuba.",02/08/2026,https://www.elespectador.com/politica/cuantos-viajes-internacionales-hizo-petro-como-presidente-asi-termino-su-agenda-en-el-exterior-en-la-habana-cuba-noticias-hoy/
"Así será la posesión de De la Espriella: invitados, controversias y más | La Mesa Redonda","Invitaciones, comitivas y convocatoria de la oposición durante posesión de Abelardo de la Espriella. Este es el análisis de La Mesa Redonda.",02/08/2026,https://www.elespectador.com/politica/asi-sera-la-posesion-de-abelardo-de-la-espriella-el-7-de-agosto-invitados-controversias-y-mas-la-mesa-redonda/
Valencia responde tras señalamientos de Cabal y Briceño: “Esas categorías no dicen nada”,"La excandidata presidencial respondió a las criticas por decir que el Centro Democrático no es de derecha: ""No estoy por el nombre"".",02/08/2026,https://www.elespectador.com/politica/paloma-valencia-respondio-a-maria-fernanda-cabal-y-daniel-briceno-por-decir-que-el-centro-democratico-no-es-de-derecha-noticias-hoy/
"Pacto Histórico revela detalles sobre eventos del 7 de agosto en Barranquilla, Cali y Bogotá",Iván Cepeda reveló los planes del Pacto Histórico para el 7 de agosto durante posesión de Abelardo de la Espriella en Cali.,01/08/2026,https://www.elespectador.com/politica/asi-sera-la-estrategia-del-pacto-historico-para-el-7-de-agosto-durante-posesion-de-de-la-espriella-esto-dijo-ivan-cepeda-noticias-hoy/
"Alto turmequé: de fundadores, presidentes y rumbos",Los mejores confidenciales sobre el poder en Colombia.,02/08/2026,https://www.elespectador.com/politica/alto-turmeque-de-fundadores-presidentes-y-rumbos/
Petro deja el poder con un cambio en el paradigma de gobierno: ¿qué efectos tendrá?,Este es el balance de gobernabilidad del presidente Gustavo Petro en el poder: los siete momentos que marcaron su mandato.,03/08/2026,https://www.elespectador.com/politica/el-balance-de-gobernabilidad-del-presidente-gustavo-petro-tras-cuatro-anos-en-el-poder-los-momentos-que-marcaron-su-mandato-noticias-hoy/
“El terrorismo no intimidará a Colombia”: De la Espriella por atentado en Norte de Santander,"De la Espriella, Cepeda y otros actores políticos se pronunciaron por atentado en Cúcuta, Norte de Santander. Esto dijeron.",01/08/2026,https://www.elespectador.com/politica/de-la-espriella-cepeda-y-otros-actores-politicos-se-pronunciaron-por-atentado-en-cucuta-norte-de-santander-noticias-hoy/
Así avanza la agenda del presidente Gustavo Petro en su último viaje internacional,Último viaje de Gustavo Petro en Cuba: así avanza su agenda en La Habana antes de la reunión con Miguel Díaz-Canel.,01/08/2026,https://www.elespectador.com/politica/ultimo-viaje-de-gustavo-petro-en-cuba-asi-avanza-su-agenda-en-la-habana-antes-de-la-reunion-con-miguel-diaz-canel-noticias-hoy/
Declaran insubsistencia de Angie Rodríguez tras acusaciones de corrupción en Gobierno Petro,Angie Rodríguez fue declarada insubsistente por el gobierno Petro: este es el decreto oficial y los motivos de su salida.,01/08/2026,https://www.elespectador.com/politica/angie-rodriguez-fue-declarada-insubsistente-por-el-gobierno-petro-estos-son-los-motivos-y-el-decreto-oficial-noticias-hoy/
Benedetti hizo último acto público cerca de Barranquilla: ¿qué dijo de una posible alcaldía?,"El saliente ministro del Interior, Armando Benedetti, tuvo su último acto público antes de dejar su cargo en Soledad, Atlántico. Esto dijo.",01/08/2026,https://www.elespectador.com/politica/benedetti-hizo-ultimo-acto-publico-cerca-de-barranquilla-que-dijo-de-una-posible-alcaldia/
“Está bien encaminado”: Dilian Francisca Toro sobre posesión y promesas de De la Espriella,"En entrevista con El Espectador, la gobernadora del Valle habló de los efectos de la posesión de Abelardo de la Espriella en Cali.",01/08/2026,https://www.elespectador.com/politica/esta-bien-encaminado-dilian-francisca-toro-sobre-posesion-y-promesas-de-abelardo-de-la-espriella-noticias-hoy/
