url,title,description,reason
https://actualidadpanamericana.com/se-robaron-el-carro-de-volver-al-futuro-en-bogota/,Se robaron el carro de Volver al Futuro en Bogotá,"Devastados están los fanáticos de la trilogía de ciencia ficción Volver al Futuro, al enterarse de la desaparición del emblemático De Lorean DMC 12, protagonista de estas películas.",place_only_no_political_context
https://actualidadpanamericana.com/ultima-hora-celulares-de-pasajeros-del-avion-perdido-en-malasia-aparecen-en-la-calle-13-de-bogota/,Aparecen celulares de pasajeros del avión perdido en Malasia en la calle 13 de Bogotá,"Al misterio de la desaparición del vuelo 370 de Malasia Airlines que durante las dos últimas semanas ha tenido intrigado a todo el planeta, en la tarde del día de ayer se le sumó un giro inesperado que tiene desconcertado a todos los expertos.",place_only_no_political_context
https://actualidadpanamericana.com/pole-dance-en-semaforos-de-medellin-desata-polemica/,Pole dance en semáforos de Medellín desata polémica,Indignación y rechazo total ha causado la última modalidad de trabajo informal vista en los semáforos de un reconocido y exclusivo sector de Medellín.,place_only_no_political_context
https://actualidadpanamericana.com/pediran-pasado-judicial-a-usuarios-de-tinder-en-colombia/,Pedirán pasado judicial a usuarios de Tinder en Colombia,Los creadores de la popular aplicación que hace furor entre los solteros y aventureros del mundo anunciaron hoy que a partir del próximo 1 de mayo sus usuarios que residan en Colombia deberán presentar estos dos documentos.,place_only_no_political_context
https://actualidadpanamericana.com/bloquean-acceso-a-megafoto-de-nueva-york-en-colombia-por-temor-a-apartementeros/,Bloquean acceso a megafoto de Nueva York en Colombia por temor a apartamenteros,"La medida fue tomada por la división de delitos electrónicos de la Dijin previa recomendación de Interpol. Al parecer, bandas dedicadas al hurto de apartamentos con base en el Norte del Valle y el Eje Cafetero pero que con frecuencia organizan incursiones fuera del país, en particular en Madrid y Nueva York, estarían utilizando la histórica y muy comentada gigafoto de la revista Time desde la cúspide del nuevo World Trade Center para planear sus próximas fechorías.",place_only_no_political_context
https://actualidadpanamericana.com/aparece-grabacion-en-la-que-pele-da-a-colombia-como-favorita-en-las-pruebas-pisa/,Aparece grabación en la que Pelé da a Colombia como favorita en las pruebas Pisa,"A los medios de comunicación llegó hoy esta grabación en la que el Rey del fútbol, temido en todo el planeta por sus augurios, afirma que el país tendrá un buen desempeño en las pruebas que miden la calidad de la educación. Juzguen ustedes.",place_only_no_political_context
https://actualidadpanamericana.com/preocupacion-por-hallazgo-en-medellin-de-patecabra-producida-con-impresora-3d/,"Preocupación por hallazgo en Medellín de ""patecabra"" producida con impresora 3D",El objeto fue incautado ayer por unidades de la Policía Metropolitana del Valle de Aburra en el barrio Manrique y generó una mezcla de alarma y sorpresa en las autoridades.,place_only_no_political_context
https://actualidadpanamericana.com/causa-sensacion-artista-colombiano-que-adultera-taximetros-en-londres/,Causa sensación artista colombiano que adultera taxímetros en Londres,"La obra del colombiano Omar Castillo ha trascendido las calles de Bogotá para causar revuelo en las de la capital británica donde el polémico artista ha inaugurado su obra ""Doin' Doll"".",place_only_no_political_context
https://actualidadpanamericana.com/procurador-con-su-ojo-en-ciclistas-colombianos-por-uso-de-camiseta-color-rosa/,Procurador con su ojo en ciclistas colombianos por uso de camiseta color rosa,El procurador decide lanzar una fuerte crítica a los recientes líderes del Giro de Italia por portar una camiseta de color rosa.,place_only_no_political_context
https://actualidadpanamericana.com/por-brujeria-escasean-laminas-de-rivales-de-colombia-en-pereira/,"Por brujería, escasean láminas de rivales de Colombia en Pereira","Preocupación pero sobre todo extrañeza ha generado en los fanáticos del álbum Panini y entre las autoridades la evidente escasez en la capital de Risaralda de lámimas de Grecia, Costa de Marfil y Japón, los rivales de Colombia en la primera fase del Mundial Brasil 2014.",place_only_no_political_context
