claim,description,date,rating,url
El gobierno de Iván Duque mató más gente por protestar que el chavismo,Solo en la presidencia de Nicolás Maduro la cantidad de fallecidos por protestar en Venezuela casi triplican las que hubo en Colombia durante el estallido social.,29/01/2025,Falso,https://colombiacheck.com/chequeos/es-falso-que-en-el-gobierno-duque-hubo-mas-muertos-en-protestas-que-en-todo-el-chavismo
QUE VICKY DÁVILA NO SE CONFUNDA CONMIGO QUE YO SI SE COMO ELLA LAVA DINERO,La desinformación ya había circulado en mayo de 2024 cuando el senador fue señalado de recibir coimas de la UNGRD para favorecer proyectos del gobierno.,05/03/2025,Falso,https://colombiacheck.com/chequeos/reviven-frase-apocrifa-de-ivan-name-en-la-que-acusa-vicky-davila-de-lavar-dinero-del-clan
Gobierno Petro eliminó la tarjeta de turismo para San Andrés,La desinformación suplanta al medio de comunicación y no tiene sustento en ninguna medida o pronunciamiento oficial.,03/07/2024,Falso,https://colombiacheck.com/chequeos/ni-el-gobierno-petro-elimino-tarjeta-de-turismo-para-ir-san-andres-ni-el-tiempo-publico-la
Esposo de Aida Quilcué fue dado de bajo por el Ejército por ser guerrillero,Hay militares investigados y condenados por el homicidio presentado de forma falsa como baja en combate pero desinformadores insisten en que era “guerrillero”.,27/03/2026,Falso,https://colombiacheck.com/chequeos/derecha-revictimiza-quilcue-al-repetir-estigma-contra-su-esposo-asesinado-en-un-crimen-de
Se filtra video de Iván Cepeda contra los santandereanos,El ‘deepfake’ imita al candidato presidencial de izquierda para mostrarlo maldiciendo a la población de Santander y señalando a la región como “paramilitar y asesina”.,12/06/2026,Falso,https://colombiacheck.com/chequeos/con-video-falso-con-ia-atribuyen-ivan-cepeda-amenaza-contra-los-santandereanos
Uribe dio la orden de matar a un testigo en la audiencia de su juicio,El clip que circula en redes sociales fue editado para hacer parecer que dos  momentos distintos de la audiencia del 13 de marzo ocurrieron al mismo tiempo.,02/04/2025,Falso,https://colombiacheck.com/chequeos/este-video-no-muestra-alvaro-uribe-dando-la-orden-de-matar-un-testigo-en-su-juicio
Foto de caballo con sigla del ELN pintada en el cuerpo en el Catatumbo,La imagen que circula como si fuera reciente fue tomada en julio de 2021 por el médico Diego Roselli en una vía de esa región de Norte de Santander.,22/01/2025,Cuestionable,https://colombiacheck.com/chequeos/esta-foto-de-caballo-pintado-con-sigla-del-eln-es-del-catatumbo-pero-no-de-la-crisis
Linda Yepes llegó a París para los Juegos Olímpicos,En redes usan una foto vieja para asegurar que la influenciadora llegó a la sede de las justas al tiempo que Petro con quien la han vinculado en narrativas transfóbicas.,29/07/2024,Falso,https://colombiacheck.com/chequeos/imagenes-de-la-presentadora-linda-yepes-en-paris-no-son-en-los-juegos-olimpicos-2024
Petro cambió de opinión y votó consulta interpartidista el 8 de marzo.,La imagen falsa con marca de agua invisible de Synth ID contradice los registros emitidos por medios de comunicación a primera hora de la jornada electoral.,08/03/2026,Falso,https://colombiacheck.com/chequeos/gustavo-petro-no-voto-consulta-interpartidista-se-trata-de-imagen-generada-con
Petro afirma que es Dios en una entrevista en Caracol Radio,Esta desinformación ya la hemos desmentido en 2022 y 2023. No hay evidencia de que el presidente haya hecho esa afirmación. El mismo medio lo desmintió.,04/12/2024,Falso,https://colombiacheck.com/chequeos/montaje-caracol-radio-con-falsa-declaracion-en-la-que-petro-afirma-ser-dios-vuelve-las
Trino sobre la gestión José Manuel Restrepo en el Ministerio de Hacienda,El mensaje incluye hechos anteriores a que el candidato vicepresidencial ocupara esa cartera y cifras económicas como el precio del dólar sin tener en cuenta factores externos.,17/03/2026,Cuestionable,https://colombiacheck.com/chequeos/trino-viral-utiliza-datos-fuera-de-contexto-para-cuestionar-gestion-de-restrepo-en
Trump promete una posible invasión militar para derrotar a Maduro,No hay evidencia de que el presidente electo de Estados Unidos se haya referido a ese tema después de ganar las elecciones y tampoco lo propuso como candidato.,16/01/2025,Falso,https://colombiacheck.com/chequeos/es-falso-que-trump-haya-prometido-una-posible-invasion-militar-venezuela-para-derrocar
Kamala Harris está vinculada con pizzagate a través de su hermana,Los correos usados para vincular a Maya Harris con la supuesta trama de pedofilia un infundio creado en las elecciones de 2016 contra Hillary Clinton en realidad no dicen nada al respecto.,31/10/2024,Falso,https://colombiacheck.com/chequeos/atacan-kamala-harris-traves-de-su-hermana-con-la-teoria-conspirativa-de-pizzagate
Mafe Cabal dijo que prefiere ser dama de compañía que volver al congreso,El ataque a la senadora y precandidata presidencial opositora se da luego de que descartó regresar al Legislativo si no consigue llegar a la Casa de Nariño en 2026.,26/09/2025,Falso,https://colombiacheck.com/chequeos/petrismo-atribuye-cabal-cita-falsa-sobre-ser-dama-de-compania-en-lugar-de-volver-al
"Foto de Paola Holguín junto a su papá, Frank Holguín Ortiz, y Pablo Escobar",La imagen fue creada a partir de una fotografía de la senadora y Frank Holguín Ortiz tomada casi cuatro años después de la muerte del narcotraficante.,15/04/2026,Falso,https://colombiacheck.com/chequeos/montaje-con-ia-pone-falsamente-paola-holguin-y-su-papa-junto-pablo-escobar
El tirador de Charlie Kirk fue visto días antes reunido con hijo de Trump,Las investigaciones no han revelado que el sospechoso de asesinar a Kirk tenga conexión alguna con el hijo menor del presidente Donald Trump. Además el video utiliza un avatar creado con IA.,19/09/2025,Falso,https://colombiacheck.com/chequeos/no-las-autoridades-no-han-reportado-que-el-sospechoso-del-asesinato-de-charlie-kirk-haya
Foto muestra que Kamala Harris aprueba la revolución comunista en América,El metraje real sólo muestra mensajes alusivos a la campaña de la fórmula demócrata para las elecciones presidenciales.,23/08/2024,Falso,https://colombiacheck.com/chequeos/video-de-kamala-harris-junto-pancartas-y-simbolos-comunistas-es-un-montaje
Hombre con caballo de madera junto a Álvaro Uribe es de Los Rastrojos,El protagonista del video es Adolfo José Cárdenas Narváez conocido como ‘El Topo’ un creador de contenidos de El Carmen de Bolívar quien desmintió la desinformación.,26/11/2025,Falso,https://colombiacheck.com/chequeos/hombre-que-aparece-con-alvaro-uribe-en-este-video-no-es-de-los-rastrojos-sino-un-creador
"Nicolás Petro viajó a Cancún con ayuda de la fiscal general, foto lo prueba",La imagen del exdiputado en la playa fue asociada sin sustento con un supuesto viaje a Cancún del que no hay evidencia.,19/09/2024,Falso,https://colombiacheck.com/chequeos/esta-foto-de-nicolas-petro-es-vieja-y-no-prueba-que-violo-restricciones-para-salir-del
La reconexión de servicios públicos costará solo 1.000 pesos,La recién promulgada Ley 2485 que pone un límite a este rubro es exagerada por petristas que se la atribuyen al Gobierno aunque es de iniciativa del Congreso.,17/10/2025,Cuestionable,https://colombiacheck.com/chequeos/ley-que-baja-cobros-por-reconexion-solo-es-para-internet-y-telefonia-no-toca-otros
Video de boicot a Benjamin Netanyahu en Asamblea de la ONU,La grabación donde varias personas salen del recinto cuando el primer ministro de Israel empezó su discurso realmente corresponde a la sesión de 2024.,24/09/2025,Cuestionable,https://colombiacheck.com/chequeos/boicot-contra-netanyahu-en-asamblea-de-la-onu-anterior-circula-como-si-fuera-de-la-actual
Juan Carlos Florián le habría transmitido VIH a Gustavo Petro,Juan Carlos Florián quien recién asumió el cargo sí vive con ese virus pero nunca ha hablado de que el presidente lo haya adquirido en supuestas relaciones con él.,20/08/2025,Falso,https://colombiacheck.com/chequeos/video-serofobico-le-atribuye-testimonio-apocrifo-minigualdad-sobre-transmision-de-vih
Caracol Radio publicó: Paciente vio a Miguel Uribe caminando,Se trata de un montaje que suplanta al medio radial como se ha hecho recientemente con el diario El Tiempo.,03/07/2025,Falso,https://colombiacheck.com/chequeos/caracol-radio-no-publico-que-una-paciente-de-la-santa-fe-vio-miguel-uribe-caminando
En video se ve cómo el Policía cambió el arma del atentado a Miguel Uribe,Un fragmento fue sacado de contexto para insinuar una manipulación de la evidencia que no se ve en el metraje completo.,16/06/2025,Falso,https://colombiacheck.com/chequeos/este-video-no-muestra-que-el-policia-cambio-el-arma-con-la-que-atacaron-miguel-uribe
Crímenes descritos en la imagen fueron cometidos por el M-19,El párrafo difundido en el pantallazo corresponde a un artículo del Centro Nacional de Memoria Histórica sobre acciones paramilitares y de las FARC en San Carlos.,10/05/2024,Falso,https://colombiacheck.com/chequeos/cifras-de-crimenes-atribuidos-al-m-19-en-esta-imagen-se-basan-en-una-respuesta-erronea-de
Donald Trump baila en el techo de la Casa Blanca,El presidente de Estados Unidos subió el 5 de agosto a la cubierta de la sede de Gobierno pero en ningún momento se le vio bailando.,14/08/2025,Falso,https://colombiacheck.com/chequeos/video-que-muestra-donald-trump-bailando-en-el-techo-de-la-casa-blanca-fue-manipulado
Petro creó 1.000 cargos con salarios de entre 15 y 45 millones de pesos.,Un trino de una cuenta desinformadora de derecha dice que son mil empleos públicos el doble de la cifra real y multiplica sus verdaderas remuneraciones.,30/01/2026,Falso,https://colombiacheck.com/chequeos/sueldos-de-500-nuevos-cargos-en-mintrabajo-estan-muy-lejos-de-los-45-millones-mensuales
MARTHA PERALTA ACUSÓ A IVÁN CEPEDA TRAS INDAGATORIA POR CASO UNGRD,La Corte Suprema ordenó la detención de la senadora por riesgo de inasistencia a la indagatoria no por “pruebas” contra el candidato como afirma la imagen viral.,21/06/2026,Falso,https://colombiacheck.com/chequeos/no-hay-senalamientos-de-peralta-que-vinculen-la-campana-de-cepeda-con-el-caso-ungrd
Abelardo de la Espriella en una fiesta después del terremoto,Fue grabado en julio antes de la posesión del nuevo presidente y de que ocurriera el terremoto del pasado 10 de agosto.,13/08/2026,Falso,https://colombiacheck.com/chequeos/el-video-de-abelardo-de-la-espriella-bailando-en-una-fiesta-es-anterior-al-terremoto
"Libro ""Mis fracasos son culpa de los demás"" escrito por Gustavo Petro",El supuesto libro lleva la firma “Rosita Aureliana” que apela a su alias como exguerrillero pero también a un apodo que acentúa una narrativa discriminatoria.,21/11/2025,Falso,https://colombiacheck.com/chequeos/usan-imagen-de-supuesto-libro-de-petro-generada-por-ia-para-atacarlo-con-mensajes
El papa León XIV estuvo en el Ubérrimo y es amigo de Uribe,Se trata de una fotografía que le tomaron mientras visitaba un pueblo cercano a Chiclayo Perú donde fue obispo.,14/05/2025,Falso,https://colombiacheck.com/chequeos/esta-no-es-una-foto-del-papa-leon-xiv-en-la-finca-el-uberrimo
La declaración de renta de De La Espriella Lawyers quedó en cero pesos,El documento muestra que la empresa liquidó $397 millones en impuesto de renta pero acumuló $996 millones en retenciones anticipadas que ya cubrían ese valor.,06/08/2026,Cuestionable,https://colombiacheck.com/chequeos/publicaciones-insinuan-que-de-la-espriella-lawyers-no-pago-renta-en-2024-pero-la
Petro dice que Ejército tenía contralada embarcación destruida por EE.UU.,No existe evidencia de que el mandatario haya hecho esas declaraciones. El video que circula en redes sociales muestra señales de haber sido generado con inteligencia artificial.,05/12/2025,Falso,https://colombiacheck.com/chequeos/petro-no-dijo-que-el-ejercito-tenia-controlada-la-embarcacion-que-estados-unidos-destruyo
Petro restituye mesada 14 para profesores quitadas en el 2005 durante el go,Al proyecto todavía le falta la mitad del camino para llegar a la sanción presidencial. Además no fue radicado por el Gobierno sino por congresistas aliados y opositores.,17/12/2025,Falso,https://colombiacheck.com/chequeos/petro-no-ha-restituido-la-mesada-14-los-maestros-la-ley-apenas-se-debate-en-el-congreso
Duque ‘ROMPE COBIJAS’ con Álvaro Uribe y lo ACUSA ante Colombia,No existe evidencia de que Duque haya dado esas declaraciones. El video viral circula desde 2018 y tiene claras señales de haber sido manipulado.,21/11/2025,Falso,https://colombiacheck.com/chequeos/video-en-el-que-duque-dice-estamos-firmes-contra-el-expresidente-alvaro-uribe-velez-es-un
Nueva ley de Trump exige implantación de chip a extranjeros en EE.UU.,No hay evidencias de que el presidente de Estados Unidos haya firmado una ley para implantar chips en personas extranjeras o inmigrantes.,10/04/2025,Falso,https://colombiacheck.com/chequeos/donald-trump-no-aprobo-una-ley-que-obliga-implantar-chips-extranjeros-en-eeuu
Abelardo de la Espriella dijo que congelará el salario mínimo por 4 años,No hay registros de que el presidente electo haya hecho ese anuncio. Tanto De la Espriella como su ministro de Hacienda designado han afirmado que su intención es que el salario mínimo siga aumentando.,06/07/2026,Falso,https://colombiacheck.com/chequeos/de-la-espriella-no-propuso-congelar-el-salario-minimo-por-cuatro-anos-como-afirma-un
Milei se arrodilló ante presidente de China Xi Jinping,La falsa foto circula desde 2023 con el rostro del presidente de Argentina pero otra versión ponía en la misma posición al de Rusia Vladimir Putin.,26/06/2024,Falso,https://colombiacheck.com/chequeos/vuelve-circular-imagen-de-ia-que-muestra-milei-arrodillado-ante-el-presidente-chino-xi
Republicanos se unieron demócratas para bloquear por completo a Trump,Los republicanos no se unieron a los demócratas para bloquear la administración de Trump como afirma un video viral. Contrario a eso el Congreso de EU aprobó su paquete fiscal.,07/07/2025,Falso,https://colombiacheck.com/chequeos/el-congreso-de-eu-acaba-de-frenar-el-poder-de-trump-falso
Foto de Petro vestido de drag queen en Budapest en 1996,Esta desinformación circula desde 2020 en redes sociales pero la foto original hace parte del Archivo de la Memoria Trans de Argentina.,12/07/2024,Falso,https://colombiacheck.com/chequeos/foto-de-gustavo-petro-vestido-de-drag-queen-en-budapest-es-un-montaje
Foto de reses muertas por las inundaciones en Córdoba,La imagen presenta inconsistencias anatómicas propias de la inteligencia artificial. Sin embargo la Gobernación de Córdoba reportó que hay cerca de 2.000 reses muertas por las inundaciones.,20/02/2026,Falso,https://colombiacheck.com/chequeos/esta-foto-de-reses-muertas-por-las-inundaciones-en-cordoba-fue-generada-con-ia
Iván Cepeda eligió a Sandra Ramírez como su fórmula vicepresidencial,No hay evidencias que confirmen esta afirmación. El mismo Cepeda lo desmintió asegurando que Ramírez ni siquiera es del Pacto Histórico la coalición por la que aspira a ser candidato presidencial.,10/09/2025,Falso,https://colombiacheck.com/chequeos/ivan-cepeda-no-ha-elegido-sandra-ramirez-como-su-formula-vicepresidencial
Estados Unidos cita a declarar a Iván Cepeda por narcotráfico y las FARC,No hay registro de tal aviso ni de la respuesta atribuida al aspirante presidencial quien recién pidió una consulta oficial para saber si existen casos en su contra en ese país.,27/08/2025,Falso,https://colombiacheck.com/chequeos/supuestos-medios-no-prueban-cita-judicial-de-ee-uu-cepeda-sobre-narcotrafico-y-falsean-su
Papa León XIV mencionó a Gustavo Petro en discurso público,Un video expone con detalle cinematográfico la supuesta mención al presidente de Colombia cuando en realidad la escena nunca ocurrió.,22/05/2025,Falso,https://colombiacheck.com/chequeos/el-papa-leon-xiv-no-ha-citado-gustavo-petro-en-ninguna-homilia-publica
Corte Suprema de Estados Unidos ordena a Donald Trump deportar a su familia,La supuesta decisión judicial no existe ni tiene asidero en las normas de ciudadanía y extranjería de la nación norteamericana.,16/07/2025,Falso,https://colombiacheck.com/chequeos/corte-suprema-de-estados-unidos-no-ha-ordenado-trump-deportar-su-familia-o-renunciar
Histórico aumento del salario mínimo mejoraría la calidad de vida de colomb,Aunque la imagen es una sátira a este periódico algunos lectores creyeron que había sido publicada por este medio.,10/12/2025,Falso,https://colombiacheck.com/chequeos/montaje-el-tiempo-sobre-aumento-del-salario-minimo-es-una-satira
Los E-14 no tenían espacio para las firmas de los jurados de votación,A diferencia del formato de 2022 las rúbricas quedaron ubicadas en la segunda página del documento como lo confirman el modelo y las actas oficiales de la Registraduría.,22/06/2026,Falso,https://colombiacheck.com/chequeos/e-14-de-segunda-vuelta-de-2026-si-tienen-espacio-para-firmas-de-jurados-es-falso-que-no
Iván Cepeda sabe muy bien lo que ha hecho,No existe registro de que el mandatario de Estados Unidos haya relacionado al precandidato presidencial colombiano con el narcotráfico y la guerrilla.,02/10/2025,Falso,https://colombiacheck.com/chequeos/falsa-atribucion-trump-de-amenaza-de-carcel-contra-ivan-cepeda-busca-reforzar-viejos
LUZ ADRIANA CAMARGO autorizó a NICOLÁS PETRO para irse a Italia,La imagen fue subida a redes por el exdiputado antes de la posesión de Luz Adriana Camargo como fiscal general y su esposa Laura Ojeda ya había dicho que era de 2023.,10/02/2025,Falso,https://colombiacheck.com/chequeos/ataques-la-fiscalia-por-supuesto-viaje-de-nicolas-petro-italia-usan-una-foto-vieja-como
Video de droga marcada con el Joker y la cara de Petro,Esta desinformación ya había circulado en 2023. Aunque la grabación es real no existe evidencia de que tenga alguna relación con el jefe de Estado.,23/07/2024,Cuestionable,https://colombiacheck.com/chequeos/sin-evidencia-relacionan-de-nuevo-petro-con-droga-incautada-que-tenia-un-joker-con-su-cara
La nueva presidenta de México recibiendo con honores a Gustavo Petro,Cuentas petristas compartieron un video diciendo que la presidenta electa mexicana recibió con honores al mandatario colombiano. La grabación es de 2022 cuando ella era jefa de Gobierno de CDMX.,04/06/2024,Cuestionable,https://colombiacheck.com/chequeos/claudia-sheinbaum-condecoro-petro-en-2022-y-no-recientemente-como-presidenta-electa-de
ejército ni policía no podrán Contraatacar ni perseguir A quien lo hostigue,Tras analizar con IA más de 2.400 decretos de esta administración no hallamos la disposición señalada en la desinformación. MinDefensa también la desmintió.,12/05/2025,Falso,https://colombiacheck.com/chequeos/gobierno-petro-no-les-prohibio-al-ejercito-y-la-policia-atacar-ni-perseguir-quien-los
Abelardo de la Espriella no se podrá posesionar el 7 de agosto,Los resultados oficiales confirman el triunfo del líder del movimiento Defensores de la Patria quien cumple con todos los requisitos legales para posesionarse como el nuevo presidente de Colombia.,05/08/2026,Falso,https://colombiacheck.com/chequeos/es-falso-que-abelardo-de-la-espriella-no-pueda-posesionarse-el-7-de-agosto
Foto muestra a Petro con exfarc alrededor de cargamento de cocaína,Los paquetes de droga fueron añadidos sobre la foto de un encuentro político que ocurrió durante el proceso de paz en Cuba; cuando no existía la Segunda Marquetalia.,30/03/2026,Falso,https://colombiacheck.com/chequeos/montaje-de-petro-y-jefes-de-las-farc-con-cocaina-circula-tras-revelaciones-sobre-asesinato
"Que mal que hayan forrado el edificio del Congreso de esa tela negra, de lu",La imagen es de otra movilización a su favor llevada a cabo un mes y medio antes en plena pugna con el Congreso.,02/05/2025,Cuestionable,https://colombiacheck.com/chequeos/foto-publicada-por-petro-de-la-plaza-bolivar-el-1-de-mayo-no-corresponde-las-marchas-de
Valla del Pacto Histórico critica al Consejo de Estado.,La imagen se difundió después de que el alto tribunal suspendiera provisionalmente el decreto que fijó el salario mínimo para 2026 pero la foto presenta varias inconsistencias visuales comunes en los contenidos creados con inteligencia artificial.,18/02/2026,Falso,https://colombiacheck.com/chequeos/valla-contra-magistrados-del-consejo-de-estado-por-suspension-de-salario-minimo-es-un
Álvaro Uribe dijo: si yo fuera obrero no aceptaría el aumento de mi salario,No existe registro de tal declaración. El exmandatario ha afirmado que para el trabajador el aumento es positivo aunque cuestiona su impacto en la economía.,23/01/2026,Falso,https://colombiacheck.com/chequeos/falsa-atribucion-uribe-si-yo-fuera-obrero-no-aceptaria-el-aumento-de-mi-salario
Maduro dice que el único que puede ayudar a Venezuela es el Tren de Aragua,Al contrario en su declaración original bajo una aparente defensa de la diáspora el mandatario venezolano estigmatizó a la oposición al relacionarla con ese grupo criminal.,08/10/2025,Falso,https://colombiacheck.com/chequeos/manipulacion-convierte-discurso-de-maduro-sobre-migracion-en-confesion-de-nexo-con-tren-de
"Iván Cepeda, alias comandante Jabón. Narcoterroristas FARC",En la imagen original no aparece el precandidato presidencial. Fue manipulada para poner su rostro y repetir la narrativa que lo vincula a las guerrillas.,24/12/2025,Falso,https://colombiacheck.com/chequeos/fotomontaje-pone-ivan-cepeda-como-inexistente-comandante-jabon-de-las-farc
Gustavo Petro aparece en lista de los asistentes a fiestas de Diddy Combs,El falso listado incluye nombres de políticos internacionales actores e influenciadores. La imagen presenta inconsistencias que evidencian la manipulación.,17/10/2024,Falso,https://colombiacheck.com/chequeos/supuesta-lista-de-diddy-combs-donde-aparece-el-nombre-de-petro-es-un-montaje
Portada de Semana con el titular La carta de las FARC,La imagen original fue publicada en agosto y dice “La carta de la izquierda”.,18/12/2025,Falso,https://colombiacheck.com/chequeos/portada-de-semana-que-dice-que-ivan-cepeda-es-la-carta-de-las-farc-es-un-montaje
Diana Uribe escribió cadena contra procesos de paz en Colombia,Esta desinformación circula desde 2016 y ya la habíamos desmentido en 2023. La misma divulgadora de historia negó ser la autora del texto.,20/08/2025,Falso,https://colombiacheck.com/chequeos/revive-cadena-contra-procesos-de-paz-falsamente-atribuida-diana-uribe
Reforma tributaria de Petro propone aumento del impuesto predial,El video fue tomado de una emisión en vivo en septiembre de 2022 antes de aprobarse la tributaria de ese año. Sin embargo ni en 2022 ni en la reforma de este año se habla de un aumento en el predial.,30/09/2024,Falso,https://colombiacheck.com/chequeos/video-sobre-reforma-tributaria-con-supuestos-aumentos-en-el-impuesto-predial-es-viejo
Alirio Barrera presentó proyecto sobre gallos tras hundir Reforma Laboral,Con un video viejo fuera de contexto acusan al senador de presentar una supuesta iniciativa que no existe.,13/05/2025,Falso,https://colombiacheck.com/chequeos/alirio-barrera-no-presento-proyecto-de-ley-sobre-gallos-finos-tras-hundimiento-de-reforma
Iván Duque trinó lamentando el homicidio de de Ñeñe Hernández,El falso mensaje circula desde 2020 y petristas lo volvieron a mover en X tras la radicación de ponencia de formulación de cargos contra la campaña presidencial.,10/05/2024,Falso,https://colombiacheck.com/chequeos/trino-montado-de-duque-sobre-asesinato-del-nene-hernandez-circula-ahora-para-atacar-al-cne
"Laura Restrepo falleció, según la editorial Alfaguara",La desinformación salió de una cuenta falsa pero fue replicada por periodistas medios de comunicación y el presidente Gustavo Petro quien luego reconoció su error.,29/10/2024,Falso,https://colombiacheck.com/chequeos/falsa-muerte-de-la-escritora-laura-restrepo-fue-anunciada-por-cuenta-que-suplanta
Petro acusado de asesino en la Unión Europea,Un frecuente desinformador da a entender con base en una intervención del ultraderechista español Jorge Martín Frías que el presidente “dió la orden”.,21/07/2025,Cuestionable,https://colombiacheck.com/chequeos/video-infla-declaracion-de-eurodiputado-que-responsabilizo-petro-por-atentado-contra
Gobierno de EE.UU. ya reconoció a Nicolás Maduro como presidente de Ven,Contrario a lo que afirma un desinformador petrista en X el presidente de Estados Unidos Joe Biden se reunió con Edmundo González y se refirió a él como presidente electo.,08/01/2025,Falso,https://colombiacheck.com/chequeos/el-gobierno-de-eeuu-no-ha-reconocido-maduro-como-presidente-de-venezuela-de-cara-al-10-de
María F. Cabal trinó celebrando intento de golpe de Estado en Bolivia,El montaje fue difundido por el presidente Gustavo Petro y cuentas afines. Sin embargo no hay registros de la supuesta publicación.,27/06/2024,Falso,https://colombiacheck.com/chequeos/maria-f-cabal-no-trino-viva-la-libertad-carajo-por-intento-de-golpe-de-estado-en-bolivia
Audio de De la Espriella en el que da directrices sobre fraude electoral,La grabación original es de 2022 cuando De la Espriella denunciaba un presunto fraude con el software de la Registraduría en las elecciones presidenciales de ese año. No lo planeaba como afirman las publicaciones.,16/07/2026,Cuestionable,https://colombiacheck.com/chequeos/audio-de-abelardo-de-la-espriella-explicando-su-supuesto-fraude-electoral-es-un-montaje-y
Gobernador insiste en subir los servicios públicos en Antioquia,En redes sociales se desinforma con una imagen del portal Minuto 30. La propuesta del gobernador Redón solo aplicaría a la tarifa de electricidad de estratos altos y ciertos sectores económicos.,28/11/2024,Cuestionable,https://colombiacheck.com/chequeos/sobretasa-de-seguridad-en-antioquia-se-cobraria-la-tarifa-de-energia-y-no-todos-los
Foto de Maria Laserna vestido como guerrillero del M-19,El montaje distorsiona el paso del fundador de la U. de los Andes por el partido Alianza Democrática M-19 para atacar a la candidata presidencial.,22/04/2026,Falso,https://colombiacheck.com/chequeos/ia-disfraza-al-exsenador-mario-laserna-abuelo-de-paloma-valencia-como-guerrillero-del-m-19
Petro anuncia que va a poner internet de fibra óptica en las cárceles,La grabación recortada es de un evento de 2025 en Acacías donde el presidente le pidió a la directora de la cárcel tramitar un proyecto de fibra óptica específico.,21/05/2026,Cuestionable,https://colombiacheck.com/chequeos/sacan-de-contexto-video-de-petro-no-anuncia-fibra-optica-gratis-para-todas-las-carceles
Video compara discursos de Petro y Bukele en la Asamblea de la ONU,El cuestionado presidente de El Salvador no asistió a la Asamblea General de este año. Las grabaciones que han circulado como actuales son de 2023.,01/10/2025,Cuestionable,https://colombiacheck.com/chequeos/comparacion-entre-discursos-de-petro-y-bukele-en-la-onu-usa-videos-viejos-como-si-fueran
María Corina Machado denuncia financiación de campaña de Petro por las FARC,La narración en el audiovisual subido a YouTube se refiere a hechos ficticios. La líder venezolana no ha hecho tal señalamiento contra el presidente de Colombia.,18/09/2025,Falso,https://colombiacheck.com/chequeos/video-de-ia-inventa-denuncia-de-maria-corina-machado-contra-campana-de-petro-por-dineros
Estudiantes y trabajadores están utilizando el tren gracias a Petro,La vía férrea que conecta a Bogotá con Zipaquirá fue recuperada por la ANI en 2013 y el tren es operado por un privado.,07/10/2024,Falso,https://colombiacheck.com/chequeos/tren-de-la-sabana-transporta-estudiantes-y-trabajadores-desde-antes-del-gobierno-petro
Foto de Cybertruck con publicidad de la campaña de Iván Cepeda,Semáforos ajenos placas ilegibles y la marca de agua invisible en detectores de imágenes sintéticas evidencian la falsedad del contenido.,10/04/2026,Falso,https://colombiacheck.com/chequeos/montaje-de-ia-pone-rodar-cybertruck-con-publicidad-de-ivan-cepeda-por-bogota
Audio de Armando Benedetti hablando sobre apoyo a campaña de Cepeda,No hay evidencia de su autenticidad. La aparente grabación presenta frases incoherentes e indicios de haber sido generada con inteligencia artificial.,19/06/2026,Falso,https://colombiacheck.com/chequeos/audio-falso-atribuye-armando-benedetti-apoyo-y-financiacion-para-la-campana-de-ivan-cepeda
Álvaro Uribe aparece abrazando a Pablo escobar en una foto,La cara del expresidente fue sacada de una foto tomada años después de la muerte del jefe del Cartel de Medellín como ya habíamos verificado.,06/08/2025,Falso,https://colombiacheck.com/chequeos/condena-alvaro-uribe-revive-fotomontaje-donde-lo-ponen-junto-pablo-escobar
Iván Cepeda propuso limitar los lujos de los ciudadanos,El candidato del Pacto no habló sobre limitar los lujos de los ciudadanos. En la grabación original prometía impulsar una ley de austeridad para el alto Gobierno.,20/05/2026,Cuestionable,https://colombiacheck.com/chequeos/video-recortado-saca-de-contexto-frase-de-ivan-cepeda-sobre-acabar-con-los-lujos-del
Otra vez Caracol diciendo mentiras y saliendo a excusarse,Luego de que el presidente Petro acusó al noticiero de mentir al respecto cuentas petristas tergiversaron una rectificación que en realidad es del 2022 sobre otro tema.,10/12/2024,Falso,https://colombiacheck.com/chequeos/caracol-no-se-retracto-sobre-denuncia-del-exministro-bonilla-contra-ricardo-roa-y-nicolas
Es FALSO que una consulta popular deba pasar por el Congreso,La Ley obliga a que este tipo de consulta pase por el Congreso sin importar si es de origen ciudadano o propuesta presidencial.,17/03/2025,Falso,https://colombiacheck.com/chequeos/consulta-popular-no-puede-hacerse-sin-pasar-por-el-senado-con-firmas-de-5-del-censo
Video del momento donde chavistas detienen a María Corina Machado,Las imágenes fueron grabadas en 2023 en Israel. No corresponden a los hechos ocurridos el 9 de enero de 2025 cuando la líder de la oposición venezolana apareció en una concentración en Caracas.,10/01/2025,Falso,https://colombiacheck.com/chequeos/este-video-no-es-del-momento-de-la-detencion-maria-corina-machado
Tribunal emite sentencia contra Caracol Radio por perfilamiento,Según un video la decisión señala a la emisora por desinformar contra creadores de contenido pero solo la obliga a responder unas preguntas de una senadora.,04/03/2025,Cuestionable,https://colombiacheck.com/chequeos/fallo-de-tribunal-contra-caracol-radio-es-por-derecho-de-peticion-no-la-acusa-por
Foto de Claudia Sheinbaum en el M-19,La foto viral es falsa y no es la “prueba” de que la presidenta de México perteneció al M-19 algo que ella misma ha negado.,14/07/2026,Falso,https://colombiacheck.com/chequeos/imagen-de-claudia-sheinbaum-como-guerrillera-del-m-19-fue-generada-con-ia
