claim,description,date,rating,url
Frente de la LIberación del Pueblo ganó en Sri Lanka con 56% de los votos,El presidente electo Anura Dissanayaka del partido marxista Frente de Liberación Popular tampoco obtuvo 56% de los votos que señaló el mandatario colombiano sino 42%.,23/09/2024,Cuestionable,https://colombiacheck.com/chequeos/video-difundido-por-petro-tras-elecciones-en-sri-lanka-es-viejo-no-corresponde-estos
Foto de Sergio Fajardo dormido en el debate de RCN,En la imagen actual el candidato del centro no reclina la cabeza de esa manera. Fue editada utilizando un fragmento de otra que fue tomada en la campaña de 2018.,14/05/2026,Falso,https://colombiacheck.com/chequeos/montaje-muestra-fajardo-dormido-en-debate-presidencial-de-rcn-con-base-en-foto-vieja
Hay capturas masivas de jurados de votación tras elecciones del 8 de marzo.,No hay registro de los supuestos operativos y sus tiempos resultan cuando menos improbables. La desinformación alienta narrativas petristas sobre fraude masivo.,20/03/2026,Falso,https://colombiacheck.com/chequeos/falsa-ola-de-capturas-jurados-de-votacion-se-ilustra-con-fotos-de-ladrones-o-sin-origen
"“Subiendo el salario mínimo, suben los impuestos y crece la pobreza”: Uribe",El expresidente dijo que la subida en la remuneración “fracasa” si se acompaña de alzas tributarias no que lo primero sea la causa de lo segundo.,27/10/2025,Cuestionable,https://colombiacheck.com/chequeos/cita-inexacta-tergiversa-critica-de-uribe-relacion-entre-aumento-del-salario-minimo-y-de
"E-14 de mesas en San Francisco, Cundinamarca, no tenían firmas de jurados",Los formularios de delegados se vieron sin firmas en la web de la Registraduría durante el preconteo. En las actas de claveros que van al escrutinio sí aparecen.,22/06/2026,Cuestionable,https://colombiacheck.com/chequeos/video-sobre-e-14-sin-firmas-en-san-francisco-cundinamarca-muestra-copias-incompletas
Alias Malayo fue capturado en el gobierno de Abelardo de la Espriella,La detención del hombre de confianza de ‘Bendito Menor’ ocurrió el 30 de junio en Riohacha antes de la posesión de De la Espriella el 7 de agosto.,13/08/2026,Falso,https://colombiacheck.com/chequeos/captura-de-alias-malayo-ocurrio-en-el-gobierno-petro-no-en-el-de-de-la-espriella
Nicolás Maduro es el presidente de Venezuela. Debemos reconocerlo,Desinformadores chavistas difunden un pantallazo de una columna de 2022 sobre la disputa por el interinato de Guaidó como si fuera del actual contexto poselectoral.,30/09/2024,Cuestionable,https://colombiacheck.com/chequeos/articulo-en-new-york-times-que-pide-reconocer-maduro-como-presidente-es-viejo-no-de-2024
Nuestro presidente ha hablado y seguiremos usando Pegasus para mostrar la v,Cuentas petristas y de supuestos medios publicaron el pantallazo falso. Aunque el expresidente tuiteó a favor del software de espionaje la exdirectora de Semana no respondió ese mensaje. Se trata de un montaje.,18/11/2024,Falso,https://colombiacheck.com/chequeos/vicky-davila-no-trino-seguiremos-usando-pegasus-para-mostrar-la-verdad-en-respuesta-uribe
Marcan tarjetones a favor de Iván Cepeda,La grabación circula como supuesta denuncia contra la campaña del candidato oficialista.,17/06/2026,Cuestionable,https://colombiacheck.com/chequeos/tarjetones-marcados-favor-de-cepeda-en-este-video-son-muestras-no-validas-para-votar-no
Coca incautada con cara de Petro sustenta investigaciones en EEUU,Las autoridades europeas nunca vincularon al mandatario con la cocaína incautada que tampoco se ha mencionado como indicio para las pesquisas norteamericanas.,26/03/2026,Cuestionable,https://colombiacheck.com/chequeos/indagacion-petro-en-ee-uu-revive-desinformacion-sobre-joker-con-su-cara-en-cargamento-de
